	Japanese	English	Japanese Example	English Sentence	speaking score	listening score
3121	じんけん	human rights	すべて の ひと に <b>じんけん</b> が ある	All people have human rights.	0	0
3122	きっちん	kitchen	かのじょ は <b>きっちん</b> で ゆうしょく を つくって います	She is preparing dinner in the kitchen.	0	0
3123	すいせん	recommendation, nomination@flushing, washing	かれ は かいちょう に <b>すいせん</b> された よ@いま は ほとんど の といれ が <b>すいせん</b> です よ	He was recommended to the chairman.@Most toilets nowadays flush.	0	0
3124	ざいせい	public finance, financial affairs	くに の <b>ざいせい</b> は とても くるしい じょうたい だ な	The country's finances are in a very tight condition.	0	0
3125	ざいさん	fortune, asset	かれ は かぶ で <b>ざいさん</b> の はんぶん を うしなった の	He lost half his assets in the stock market.	0	0
3126	くしゃくしゃ	messy, scrunch	かみ を <b>くしゃくしゃ</b> に まるめました	I rolled the paper into a ball.	0	0
3127	きんゆう	finance	かれ は <b>きんゆう</b> かんけい の かいしゃ で はたらいて います	He works at a financial company.	0	0
3128	かんりょう	completion	しごと は すべて <b>かんりょう</b> しました	I completed all the work.	0	0
3129	しゅうりょう	completion@end, expiry	せんげつ その こーす を <b>しゅうりょう</b> しました@こんさーと は よる しち じ ご ふん に <b>しゅうりょう</b> しました	I finished the course last month.@The concert ended at 7:05 pm.	0	0
3130	しょうち	consent, knowledge	その こと は <b>しょうち</b> して おります	I know that.	0	0
3131	けち	stingy, miser	かれ は かねもち だ けど <b>けち</b> ね	He is rich but stingy.	0	0
3132	おさめる	pay a tax or fee	じどうしゃぜい を <b>おさめた</b> よ	I paid my car tax.	0	0
3133	せっとく	persuasion	なんとか おや を <b>せっとく</b> して みる よ	I will try my best to persuade my parents.	0	0
3134	しょとく	income, earnings	ここ に きょねん の <b>しょとく</b> を ご きにゅう ください	Please fill in last year's income here.	0	0
3135	える	obtain, gain	かれ は たいきん を <b>えました</b> よ	He obtained a lot of money.	0	0
3136	かんぶ	executive	あの かいしゃ の <b>かんぶ</b> は みんな とても ゆうしゅう だ ね	That company's executives are all exceptional people.	0	0
3137	さんそ	oxygen	わたしたち は <b>さんそ</b> なし で は いきて いけない	We can't live without oxygen.	0	0
3138	すなお	honest, straightforward	かのじょ は とても <b>すなお</b> で かわいい です ね	She is very honest and cute.	0	0
3139	ざらざら	rough, gritty	すなぼこり で つくえ が <b>ざらざら</b> して いる ね	The top of the desk is rough because of the sandy dust.	0	0
3140	すいそ	hydrogen	みず は <b>すいそ</b> と さんそ で できて います	Water is made of hydrogen and oxygen.	0	0
3141	すばやい	nimble, quick	かれ は <b>すばやく</b> あたり を みまわした の	He quickly looked around.	0	0
3142	こうそう	conception, design@high altitude, high-rise	かれ は あたらしい しょうせつ の <b>こうそう</b> を ねって いる の@この あたり は <b>こうそう</b>びる が ふえました ね	He is developing a plot for his new novel.@The number of high-rise buildings has increased around here.	0	0
3143	せきたん	coal	こや に <b>せきたん</b> の やま が あります	There is a mountain of coal in the hut.	0	0
3144	いわ	rock, crag	あの <b>いわ</b> まで およごう	Let's swim up to that rock.	0	0
3145	きし	shore, bank	ふね が やっと <b>きし</b> に ついた よ	The ship finally reached the shore.	0	0
3146	かいさん	breakup, dissolution	らいねん しゅうぎいん が <b>かいさん</b> される だろう	The Lower House will probably be dissolved next year.	0	0
3147	スモッグ	smog	とかい の そら は <b>すもっぐ</b> で はいいろ ね	The city sky is gray because of smog.	0	0
3148	しょくぶつ	plant, vegetation	きゅうじつ は <b>しょくぶつ</b> の せわ を して すごします	I spend my days off looking after my plants.	0	0
3149	しょくみんち	colony, settlement	この くに は いぎりす の <b>しょくみんち</b> でした	This country was a colony of Britain.	0	0
3150	うえき	garden plant, shrub	<b>うえき</b> に みず を やりました	I watered the plant.	0	0
3151	かんじょう	check, tab@feeling, emotion	お<b>かんじょう</b> を して ください@<b>かんじょう</b> と は ふくざつ な もの です	Can I have the check, please?@Emotions are complex things.	0	0
3152	しょくぶつえん	botanical garden	<b>しょくぶつえん</b> に は めずらしい はな が たくさん あります ね	There are a lot of rare flowers in the botanical garden.	0	0
3153	こんきょ	grounds, basis	なに を <b>こんきょ</b> に そんな こと を いう の です か	On what grounds do you say such a thing?	0	0
3154	こんぽん	basis, root	もんだい の <b>こんぽん</b> を みなおしましょう	Let's look again at the root of the problem.	0	0
3155	いた	board, plank	ちち は ながい <b>いた</b> を かって きた ん だ	My father bought a long plank.	0	0
3156	すり	pickpocket	<b>すり</b> に さいふ を とられた	My wallet was taken by a pickpocket.	0	0
3157	かんばん	signboard, sign	みせ の <b>かんばん</b> を ぬりかえました	I repainted the shop's sign.	0	0
3158	けいかい	vigilance, precaution@light, cheerful	じしん の あと は つなみ に <b>けいかい</b> して ください@かれら は <b>けいかい</b> な すてっぷ で おどりだした の	Beware of tsunamis after an earthquake.@They began to dance with jaunty steps.	0	0
3159	くさばな	plants and flowers	<b>くさばな</b> を たいせつ に しましょう	Let's take good care of plants and flowers.	0	0
3160	くさき	plants and trees	この にわ は <b>くさき</b> が かれて いる ね	The plants dry out in this garden.	0	0
3161	ことばづかい	wording, language	せんせい に そんな <b>ことばづかい</b> を して は いけません	Do not speak to the teacher like that.	0	0
3162	おちば	fallen leaves	<b>おちば</b> の きせつ に なりました ね	The season of falling leaves has arrived.	0	0
3163	このは	tree leaves	あき に は <b>このは</b> が あかく なります	Leaves go red in autumn.	0	0
3164	かきことば	written language	<b>かきことば</b> と はなしことば は だいぶ ちがう こと が あります	Written language and spoken language are sometimes quite different.	0	0
3165	きゅうしゅう	absorption, merger	かれ は ちしき の <b>きゅうしゅう</b> が はやい です ね	He absorbs knowledge quickly.	0	0
3166	おにぎり	rice ball	ちゅうしょく に <b>おにぎり</b> を たべました	I ate rice balls for lunch.	0	0
3167	こきゅう	breathing, respiration	ゆっくり <b>こきゅう</b> して ください	Please breathe slowly.	0	0
3168	すいこむ	inhale, suck in	ほこり を <b>すいこんじゃった</b>	I have inhaled some dust.	0	0
3169	およぶ	reach to, come up to	あなた に まで めいわく が <b>およんで</b> ごめんなさい	I'm sorry that even you've been inconvenienced.	0	0
3170	あつかう	handle, deal with	この にもつ は ていねい に <b>あつかって</b> ください	Please handle this luggage with care.	0	0
3171	こうきゅう	high rank, high class	わたしたち は <b>こうきゅう</b> ほてる に とまった の	We stayed at a high class hotel.	0	0
3172	じょうきゅう	higher grade, advanced class	かれ は <b>じょうきゅう</b> の こーす に あがった よ	He went up to the advanced course.	0	0
3173	かみそり	razor	<b>かみそり</b> の は で ゆび を きりました	I cut my finger with a razor blade.	0	0
3174	くむ	collect, scoop up@pair up, partner with	ちいさ な ばけつ で みず を <b>くんだ</b> の@この ぷろじぇくと で わたし は かれ と <b>くんで いる</b> ん だ	I scooped up some water with a small bucket.@I am pairing up with him for this project.	0	0
3175	しょきゅう	beginner class, elementary level	これ は <b>しょきゅう</b> の きょうかしょ です 。	This is a beginner's textbook.	0	0
3176	けっかん	blood vessel	とし を とる と <b>けっかん</b> が かたく なります	The blood vessels harden with age.	0	0
3177	しゅっけつ	bleeding, hemorrhage	<b>しゅっけつ</b> が ひどい の で いしゃ に いった ほう が いい	You're bleeding badly so you should go see a doctor.	0	0
3178	えきたい	liquid, fluid	せんたく に <b>えきたい</b> の せんざい を つかって います	I use liquid detergent for washing clothes.	0	0
3179	けつえき	blood	しんぞう は ぜんしん に <b>けつえき</b> を おくりだして いる	The heart sends blood to the whole body.	0	0
3180	せなか	back	<b>せなか</b> が かゆい です	My back itches.	0	0
3181	がやがや	chatter loudly	せいとたち が <b>がやがや</b> と さわいで います ね	Students are making a lot of noise.	0	0
3182	こうがい	environmental pollution@suburbs, outskirts	わたしたち は <b>こうがい</b> を へらす よう どりょく して います@わたし は <b>こうがい</b> に いえ を かいました	We are making an effort to decrease pollution.@I bought a house in the suburbs.	0	0
3183	まあまあ	OK, not bad, average@now now	かれ の せいせき は <b>まあまあ</b> です@<b>まあまあ</b> おちついて ください	His results are so-so.@Now, now, please settle down.	0	0
3184	せびろ	business suit	<b>せびろ</b> を くりーにんぐ に だしました	I took my suit to the dry cleaner.	0	0
3185	こっせつ	fracture, broken bone	かのじょ は すきー で あし を <b>こっせつ</b> した の	She fractured her foot while skiing.	0	0
3186	けんぜん	healthy, sound	こども の <b>けんぜん</b> な こころ を そだてましょう	Let's cultivate a wholesome mindset in children.	0	0
3187	かげ	shadow, shade@shade, behind the scenes	まど に だんせい の <b>かげ</b> が うつって います@<b>かげ</b> で すこし きゅうけい しましょう	There's a man's shadow reflected in the window.@Let's take a break in the shade.	0	0
3188	しんだん	diagnosis	いし は いじょう なし と <b>しんだん</b> した ん だ	According to the doctor's diagnosis, there's no abnormality.	0	0
3189	しんさつ	medical examination	きょう びょういん で <b>しんさつ</b> して もらった の	I had an examination at the hospital today.	0	0
3190	きょろきょろ	look around	かいじょう で こども が <b>きょろきょろ</b> して いる わ よ	The child is staring about the hall.	0	0
3191	きのどく	pitiable, regrettable	かれら は <b>きのどく</b> な せいかつ を して いる	They live pitiful lives.	0	0
3192	しょうどく	disinfection, sterilization	あし の きず を <b>しょうどく</b> した わ	I disinfected the wound on the foot.	0	0
3193	しょうじょう	symptom	いしゃ に <b>しょうじょう</b> を せつめい した よ	I explained the symptoms to the doctor.	0	0
3194	せいしょ	clean copy	この てがみ を <b>せいしょ</b> して ください	Please make a clean copy of this letter.	0	0
3195	せいけつ	cleanliness, neatness	れすとらん は <b>せいけつ</b> が だいいち です	In restaurants cleanliness is the most important thing.	0	0
3196	かんとく	supervisor, film director	その <b>かんとく</b> は あかでみーしょう を じゅしょう した よ な	The director won an Academy Award.	0	0
3197	さつえい	photographing, shoot	<b>さつえい</b> は さんかげつ かけて おこなわれました	Shooting took place over three months.	0	0
3198	しょうがい	for life, lifetime@obstacle, disorder	かれ は はちじゅうねん の <b>しょうがい</b> を とじました@まず は <b>しょうがい</b> を とりのぞいて から けいかく を すすめよう	His life of 80 years came to a close.@Let's get rid of the problem and then proceed with the plan.	0	0
3199	えがく	depict, describe	かれ は じんぶつ を <b>えがく</b> の が うまい な	He is good at drawing people.	0	0
3200	くしゃみ	sneeze	かぜ で <b>くしゃみ</b> が とまりません	I can't stop sneezing because of my cold.	0	0
3201	かつやく	activity, action	かれ の <b>かつやく</b> で ゆうしょう した よ	His performance led us to win the tournament.	0	0
3202	いりょう	medical service, healthcare@clothing, garments	<b>いりょう</b> かんけい の しごと を して います@その かいしゃ は <b>いりょう</b> を あつかって いる ん だ	I work in healthcare.@The company deals with clothing.	0	0
3203	がく	picture frame	しゃしん を <b>がく</b> に いれて かざった ん だ	I put the photo in a frame and hung it up.	0	0
3204	ひたい	forehead, brow	<b>ひたい</b> に あせ を かいた よ	His forehead was covered in sweat.	0	0
3205	さいかい	reunion@reopening, restart	かれら は たがいに <b>さいかい</b> を よろこんだ の@しあい は すぐ に <b>さいかい</b> された の	They were both very pleased to meet each other again.@The game was restarted at once.	0	0
3206	さいせい	playback	るすばんでんわ の めっせーじ を <b>さいせい</b> した の	I played back the messages on the answering machine.	0	0
3207	あむ	knit	いもうと は <b>まふらー</b> を <b>あみました</b>	My younger sister knitted a scarf.	0	0
3208	かいほう	release, setting free@opening	ひとじち が <b>かいほう</b> されて よかった@その くに は しじょう の <b>かいほう</b> を もとめられて いる の	It is good that the hostage has been freed.@That country has been requested to open its markets.	0	0
3209	ぐずぐず	drag one's feet, waste time	<b>ぐずぐず</b> して いる と でんしゃ に のりおくれます よ	You'll miss the train if you dilly-dally.	0	0
3210	じゅうし	importance, value	あの きぎょう で は がくれき が <b>じゅうし</b> される よ	An educational background is valued in that company.	0	0
3211	いるい	clothes, garments	<b>いるい</b> の せいり を した よ	I organized the clothes.	0	0
3212	いふく	clothes, dress	かれ の かいしゃ は <b>いふく</b> を あつかって いる よ	His company deals with clothing.	0	0
3213	いしょくじゅう	clothing and food and housing	とち によって <b>いしょくじゅう</b> は へんか する	Clothing, food and housing vary from region to region.	0	0
3214	くすぐったい	ticklish	いぬ に かお を なめられて <b>くすぐったい</b> よ 。	It tickles to have my face licked by a dog.	0	0
3215	のびる	stretch, grow@extend, be postponed	かみ が だいぶ <b>のびた</b> ね@こうじ の よてい が 1 かげつ <b>のびて</b> しまった	Your hair has grown a lot, hasn't it?@The construction schedule has been postponed for one month.	0	0
3216	かりに	supposing that, even if	<b>かりに</b> それ が じじつ だ と して も もう おそい よ	Even if it is true, it's already too late.	0	0
3217	かなづかい	kana orthography, use of kana	そふ は ふるい <b>かなづかい</b> で かく こと が ある の	My grandfather sometimes writes in the old kana orthography.	0	0
3218	えんぜつ	speech, address	かれ は ちほう で <b>えんぜつ</b> した の よ	He made a speech in the provinces.	0	0
3219	いためる	damage, spoil@stir-fry	かれ は じゅうどう で こし を <b>いためた</b> ん だ@つぎ に やさい を <b>いためて</b> ください	He hurt his lower back doing judo.@Next, stir-fry the vegetables.	0	0
3220	えんじる	perform, play	かれ は よく けいじ の やく を <b>えんじる</b> ね	He often performs the role of a detective.	0	0
3221	しゅつえん	appearance on stage, performance	かのじょ は その えいが に <b>しゅつえん</b> して いる よ	She is performing in the movie.	0	0
3222	くたびれる	get tired, be worn out	たくさん あるいて <b>くたびれました</b>	I was worn out from walking so much.	0	0
3223	げき	drama, play	しょうがっこう で こどもたち の <b>げき</b> を みました	I saw a children's play at an elementary school.	0	0
3224	げきじょう	theater	ごご はちじ に <b>げきじょう</b> の まえ で あいましょう	Let's meet in front of the theater at 8:00 pm.	0	0
3225	えんげき	drama, play	かのじょ は <b>えんげき</b> を まなんで います	She studies acting.	0	0
3226	きげき	comedy	さくや は てれび で <b>きげき</b> を みた よ	I watched a comedy show on TV last night.	0	0
3227	かなしみ	grief, sadness	とつぜん の <b>かなしみ</b> が いっか を おそいました	Sudden grief fell upon the whole family.	0	0
3228	しゅうだん	group, mass	てろ <b>しゅうだん</b> が けいさつ に つかまりました	The terrorist group was caught by the police.	0	0
3229	こてい	fixing, stability	ぼう を てーぷ で <b>こてい</b> しなさい	Fix the stick in place with tape.	0	0
3230	いらいら	be irritated	かのじょ は あさ から <b>いらいら</b> して いる	She's been feeling irritated since this morning.	0	0
3231	かためる	harden, strengthen	わたし は もう けっしん を <b>かためた</b> の	I already made up my mind.	0	0
3232	かたまる	harden, solidify	もう ぷりん は <b>かたまった</b> か な	Has the pudding set already?	0	0
3233	こたい	solid, solid matter	こおり は <b>こたい</b> です	Ice is a solid.	0	0
3234	こゆう	peculiar to, characteristic	これ は にほん <b>こゆう</b> の とり です	This bird is native to Japan.	0	0
3235	しゅさい	sponsorship, promotion	その げいじゅつさい は し が <b>しゅさい</b> して います	The art festival is sponsored by the city.	0	0
3236	うながす	hasten, urge	かれ に しゅうちゅう する よう ちゅうい を <b>うながし とい た</b> よ	I urged him to concentrate.	0	0
3237	さいそく	demand, urging	かのじょ に ほん を かえす よう に <b>さいそく</b> した の	I urged her to return the book.	0	0
3238	エチケット	etiquette	<b>えちけっと</b> を まもる こと は たいせつ です	It is important to keep the rules of etiquette.	0	0
3239	こてん	classics	わたし は <b>こてん</b> を よむ の が すき です	I like to read classics.	0	0
3240	じてん	dictionary	しらない ことば を <b>じてん</b> で しらべました	I looked up the word I didn't know in the dictionary.	0	0
3241	ことに	especially, exceptionally	ろっく は <b>ことに</b> わかもの に にんき だ	Rock music is especially popular among young people.	0	0
3242	しょうちょう	symbol, symbolize	てんのう は にほんこく の <b>しょうちょう</b> です	The emperor is a symbol of Japan.	0	0
3243	かんしょう	ornamental@viewing, enjoyment (of art)	この はちうえ は <b>かんしょう</b>よう です@こんや は おぺら <b>かんしょう</b> に いきます	This potted plant is for ornamental purposes.@I'm going to see an opera tonight.	0	0
3244	かすか	faint, dim	かいか から <b>かすか</b> な おと が きこえた	I heard a faint sound from downstairs.	0	0
3245	ごめん	sorry	おくれて <b>ごめん</b>	I am sorry I'm late.	0	0
3246	きょか	permission, approval	せんせい に <b>きょか</b> を もらって そうたい しました	I got permission from the teacher and left early.	0	0
3247	くんれん	training, drill	がっこう で ひなん <b>くんれん</b> が ありました	There was a fire drill at the school.	0	0
3248	くんよみ	Japanese pronunciation	かんじ に は おんよみ と <b>くんよみ</b> が あります	Every kanji has both Chinese-derived and Japanese pronunciations.	0	0
3249	くん	Japanese reading of kanji	かんじ の よみかた に は おん と <b>くん</b> の ふたとおり が ある の	There are two ways to pronounce kanji: the Chinese-derived reading and the Japanese reading.	0	0
3250	けいじ	detective@notice, bulletin	<b>けいじ</b> が げんば を しらべて いる わ@たいかい の すろーがん を <b>けいじ</b> した よ	The detective is investigating the crime scene.@I posted the rally's slogan.	0	0
3251	けいようし	adjective	おおきい は <b>けいようし</b> です	Large is an adjective.	0	0
3252	じょうし	boss	<b>じょうし</b> に そうだん して みます	I will consult my boss.	0	0
3253	しかい	master of ceremonies, host	かれ は <b>しかい</b> が じょうず です ね	He is a good moderator.	0	0
3254	こうにゅう	purchase	にゅうがくしき の あと きょうかしょ を <b>こうにゅう</b> して ください	Please buy the textbooks after the entrance ceremony.	0	0
3255	こうし	speaker, lecturer	せんもんか を <b>こうし</b> に まねいた	We invited a specialist to lecture the class.	0	0
3256	ぎし	engineer, technician	かれ は れんとげん <b>ぎし</b> です	He is a radiographer.	0	0
3257	しわす	December	<b>しわす</b> に はいる と いそがしく なります	I get very busy once December comes.	0	0
3258	かんかん	furious	かのじょ は <b>かんかん</b> に おこって います	She is inflamed with rage.	0	0
3259	おてつだい	helper, assistant	なに か <b>おてつだい</b> しましょう か	Is there anything I can do to help?	0	0
3260	ことり	small bird	たんじょうび に <b>ことり</b> を かって もらいました	I was bought a small bird for my birthday.	0	0
3261	おおごえ	loud voice	わたしたち は <b>おおごえ</b> で うた を うたった の	We sang loudly.	0	0
3262	うたごえ	singing voice	こうしゃ から <b>うたごえ</b> が きこえて きた よ	You could hear singing coming from the school building.	0	0
3263	さわぎ	clamor, commotion	いったい なん の <b>さわぎ</b> です か	What on earth is the commotion?	0	0
3264	さわがしい	noisy	なんだか おもて が <b>さわがしい</b>	It is noisy outside, for some reason.	0	0
3265	ちゅう	middle, medium size@annotation, explanatory note	うち の こ の しんちょう は くらす で <b>ちゅう</b> くらい です@くわしくは <b>ちゅう</b> を よんで ください	My child is of average height in class.@For details, please read the notes.	0	0
3266	これまで	until now, until here	<b>これまで</b> の わたし と は ちがうん です	I am not the same as before.	0	0
3267	ささる	stick, be stuck	くつ の そこ に くぎ が <b>ささって しまった</b> ん だ	A nail has stuck in the bottom of my shoe.	0	0
3268	きゅうげき	sudden, abrupt	これから こうれいか が <b>きゅうげき</b> に すすみます	The aging of the population will rapidly advance in the years ahead.	0	0
3269	しげき	stimulus, stimulation	その くいずばんぐみ は のう を <b>しげき</b> する ね	The quiz show stimulates the brain.	0	0
3270	かんげき	deep emotion, moving	<b>かんげき</b> して ないて しまいました	I was moved to tears.	0	0
3271	きょうみ	interest	わたし は れきし に <b>きょうみ</b> が あります	I'm interested in history.	0	0
3272	こうふん	excitement, agitation	かのじょ の ゆうしょう に かんげき し <b>こうふん</b> しました	I was excited and moved by her victory.	0	0
3273	おどろき	surprise, amazement	かのじょ は <b>おどろき</b> を かくせませんでした よ	She was not able to conceal her surprise.	0	0
3274	おどろかす	surprise, amaze	あなた を <b>おどろかす</b> はなし が あります	I have a story that will surprise you.	0	0
3275	じめじめ	feel damp, clammy	つゆどき は <b>じめじめ</b> する	It is damp in the rainy season.	0	0
3276	いたる	come to, reach	ようやく けつろん に <b>いたった</b> よう ね	It seemed that we finally reached a conclusion.	0	0
3277	いたるところ	everywhere, all over	こんびに は <b>いたるところ</b> に あります	Convenience stores are everywhere.	0	0
3278	しきゅう	urgent, pressing	かいしゃ から <b>しきゅう</b> と の れんらく が あった ん だ	"The company contacted me on an """"urgent"""" matter."	0	0
3279	いっち	accord, agreement	みんな の いけん が <b>いっち</b> しました	We all agreed in opinion.	0	0
3280	いたす	humbly do	わたし から ごれんらく <b>いたします</b>	I'll get in touch with you.	0	0
3281	かたむく	decline, go down	おひさま が にし に <b>かたむきました</b> ね	The sun went down in the west.	0	0
3282	ぺこぺこ	hungry, starving@bow, kowtow	わたし は おなか が <b>ぺこぺこ</b> です@かれ は じょうし に <b>ぺこぺこ</b> して いる	I'm very hungry.@He's bowing to his boss.	0	0
3283	かたむける	lean, cock (one's head)	かのじょ は くび を すこし <b>かたむけて</b> わらう の	She cocks her head slightly to the side when she smiles.	0	0
3284	じろじろ	stare	ひと を <b>じろじろ</b> みる もの で は ありません	Do not stare at people.	0	0
3285	さか	slope, incline	この <b>さか</b> を のぼる の は すごく きつい ね	Going up this slope is very hard.	0	0
3286	ちゅうしゃ	injection, shot@parking	かれ は <b>ちゅうしゃ</b> が あまり すき で は ありません@くるま は ここ に <b>ちゅうしゃ</b> して ください	He's not too fond of getting shots.@Please park the car here.	0	0
3287	せばまる	become narrow, contract	ここ から みち の はば が <b>せばまって います</b>	The road narrows from here.	0	0
3288	こうぎ	protest, remonstrance@lecture	かれ の はつげん に たいして たくさん の <b>こうぎ</b> が あった よ@かれ の <b>こうぎ</b> は とても わかり やすい です ね	His remark was met with numerous complaints.@His lectures are very easy to understand.	0	0
3289	せばめる	narrow, contract	もっと はんい を <b>せばめて</b> さがしましょう	Let's narrow the range and search.	0	0
3290	ぺらぺら	fluently@floppy, flimsy	かのじょ は どいつご が <b>ぺらぺら</b> です@この ほん は うすくて <b>ぺらぺら</b> です ね	She speaks German fluently.@This book is thin and flimsy.	0	0
3291	じょこう	slow speed	この さき は <b>じょこう</b> して ください	Please go slowly ahead.	0	0
3292	かたさ	hardness	りか の じかん に いし の <b>かたさ</b> を くらべた よ	In science class we compared the hardness of stones.	0	0
3293	じゅうなん	pliable, flexible	かれ は <b>じゅうなん</b> に たいおう を した	He gave a flexible response.	0	0
3294	きんきゅう	urgent, pressing	<b>きんきゅう</b> じたい が はっせい した	An emergency situation arose.	0	0
3295	あり	ant	<b>あり</b> の むれ が さとう に たかっている 。	The army of ants is swarming around the sugar.	0	0
3296	きんちょう	tension, strain	かれ は <b>きんちょう</b> して いた な	He felt nervous.	0	0
3297	かくちょう	expansion, extension	その かいしゃ は てんぽ を <b>かくちょう</b> して います ね	The company is expanding the store.	0	0
3298	しゅっちょう	business trip	ぶちょう は きょうと に <b>しゅっちょう</b>ちゅう です	The manager is on a business trip to Kyoto.	0	0
3299	しょうとつ	collision, conflict	そこ の かど で くるま どうし が <b>しょうとつ</b> した の よ	The cars collided into each other at the corner there.	0	0
3300	えんとつ	chimney, smokestack	こうじょう の <b>えんとつ</b> から けむり が あがって いる	Smoke is rising from the factory's smokestack.	0	0
3301	ぐんじ	military affairs	かれ は <b>ぐんじ</b> に かかわる しごと を つづけて きた ん だ	He kept working in a job related to military affairs.	0	0
3302	あいづち	responsive sounds, chiming in	かれ の はなし に わたし は <b>あいづち</b> を うった の	I chimed in as he spoke.	0	0
3303	じえいたい	Self Defense Forces	<b>じえいたい</b> が いらく に はけん された わ	The Self Defense Forces were sent to Iraq.	0	0
3304	ぐんたい	army, troops	かれ は <b>ぐんたい</b> に はいった よ	He entered the military.	0	0
3305	けっかく	tuberculosis	むかし は <b>けっかく</b> で たくさん の ひと が なくなった	In the past, a lot of people died of tuberculosis.	0	0
3306	のぞく	look, peep@rid of, exclude	どあ の すきま から なか を <b>のぞいた</b> ん だ@ぶちょう を <b>のぞく</b> ぜんいん が どようび も はたらいた	I peeped inside through the crack in the door.@Everyone except the director worked on Saturday.	0	0
3307	せんこう	major, specialization	だいがく で は ぶつり を <b>せんこう</b> して いました	I majored in physics at university.	0	0
3308	せめる	attack, take the offensive	かれ は せっきょくてき に <b>せめた</b> が かてなかった な	He didn't win although he put up a good attack.	0	0
3309	かちかち	hard, solid	いけ が <b>かちかち</b> に こおって います	The pond is frozen solid.	0	0
3310	あばれる	act violently, rage about	かれ は わるよい して <b>あばれた</b> ん だ	He was so drunk that he became violent.	0	0
3311	まずい	bad-tasting, bad@bad, no good@problematic, troublesome	ここ の りょうり は <b>まずい</b>@かのじょ の うんてん が <b>まずくて</b> はらはら した@きょうじゅう に へんとう しなければ <b>まずい</b>	The food here is bad.@I felt uneasy since her driving was so bad.@If I don't respond by the end of today there will be trouble.	0	0
3312	おそう	raid, attack	やま で とざん きゃく が くま に <b>おそわれた</b> よ	Some climbers were attacked by a bear in the mountains.	0	0
3313	ぜったい	absolutely	そんな こと は <b>ぜったい</b> できない よ	I can never ever do such a thing.	0	0
3314	きぜつ	fainting	かのじょ は おどろいて <b>きぜつ</b> して しまった の	She fainted in surprise.	0	0
3315	しょうぼう	fire fighting, fire prevention	<b>しょうぼう</b>し は ゆうかん で なけれ ば ならない	Fire fighters must be brave.	0	0
3316	きらう	dislike	ちち は らっしゅあわー を <b>きらって います</b>	My father dislikes rush hour.	0	0
3317	いやがる	dislike, hate	かれ は たばこ の けむり を <b>いやがる</b> の	He dislikes cigarette smoke.	0	0
3318	くたくた	exhausted	きょう は たくさん あるいて <b>くたくた</b> です	I am exhausted because I have walked so much today.	0	0
3319	すききらい	likes and dislikes, taste	たべもの の <b>すききらい</b> は とくに ありません	I have no particular likes or dislikes when it comes to food.	0	0
3320	すてき	lovely, nice	<b>すてき</b> な ぷれぜんと を ありがとう	Thank you for the wonderful gift.	0	0
3321	おどかす	threaten, intimidate	<b>おどかさない で</b> よ	Don't threaten me.	0	0
3322	けんい	authority, power	はかせ は そのみち の <b>けんい</b> です	The doctor is an authority in that field.	0	0
3323	いばる	put on airs, be arrogant	かれ は <b>いばって</b> なんか いません	He's not putting on airs.	0	0
3324	じょうせい	state of things, situation	わたし は せかい <b>じょうせい</b> を しる ため に まいにち にゅーす を みる わ	I watch the news everyday to know about world affairs.	0	0
3325	はなす	release, free@speak, tell@separate, detach	こうえん で いぬ を <b>はなした</b> の@はは と でんわ で <b>はなしました</b>@こども の て を <b>はなさないで</b> ください	I let my dog run freely in the park.@I spoke to my mother on the phone.@Don't let go of your child's hand.	0	0
3326	せいりょく	influence, power	この ころ は ろーま が <b>せいりょく</b> を のばして いました	At that time Rome was expanding its power.	0	0
3327	いきおい	vigor, momentum	その ちーむ に は <b>いきおい</b> が あります ね	That team has momentum.	0	0
3328	おそれ	fear, risk	おじ に は しんぞうびょう の <b>おそれ</b> が あります	There's a possibility my uncle has heart disease.	0	0
3329	おそれる	fear, apprehend	かれ は じゅけん の しっぱい を <b>おそれて います</b>	He is worrying about failing the examination.	0	0
3330	おそらく	probably	あした は <b>おそらく</b> はれる でしょう	The weather will probably clear up tomorrow.	0	0
3331	こわがる	be afraid of, fear	かのじょ は くも を <b>こわがります</b>	She is afraid of spiders.	0	0
3332	きょだい	huge, gigantic	あの <b>きょだい</b> な たてもの は はくぶつかん です	That huge building is a museum.	0	0
3333	すべすべ	smooth	かのじょ の はだ は <b>すべすべ</b> して いる ね	Her skin is smooth.	0	0
3334	きょひ	denial, rejection	かのじょ は しゅっせき を <b>きょひ</b> した	She refused to attend.	0	0
3335	けいれつ	affiliation	こうこう そつぎょう ご <b>けいれつ</b> の だいがく に すすみました	After graduating from high school, he entered an affiliated university.	0	0
3336	けいとう	system, lineage	でんき <b>けいとう</b> を ずめん で たしかめました	I checked the electrical system on the diagram.	0	0
3337	しそん	descendant, offspring	かれ は おだのぶなが の <b>しそん</b> だ よ	He is a descendant of Oda Nobunaga.	0	0
3338	きぬ	silk, silk fabrics	この しゃつ は <b>きぬ</b> で できて います	This shirt is made of silk.	0	0
3339	いじ	maintenance, upkeep	かのじょ は なんとか けんこう を <b>いじ</b> して いる わ ね	Somehow, she manages to keep healthy.	0	0
3340	しんし	gentleman	みなり の いい <b>しんし</b> が はなしかけて きた の	A well-dressed gentleman spoke to me.	0	0
3341	せっかく	with much trouble, specially	<b>せっかく</b> きたん だから ゆっくり して いきなさい	Since you've come all the way, why don't you stay for a while?	0	0
