	Kanji	English	Example Sentence	Example Sentence Reading	English Sentence	writing score	Reading	reading score
2552	一面	whole surface	外は<b>一面</b>の雪景色だったね。	そと は <b>いちめん</b> の ゆきげしき だった ね	It was a snowy landscape outside.	0	いちめん	0
2553	真実	"truth, reality"	<b>真実</b>は一つです。	<b>しんじつ</b> は ひとつ です	There is one truth.	0	しんじつ	0
2554	真理	truth	彼は人生の<b>真理</b>を求めて旅に出た。	かれ は じんせい の <b>しんり</b> を もとめて たび に でた	He went on a journey in search of the true meaning of life.	0	しんり	0
2555	金色	golden color	あの寺の屋根は<b>金色</b>ですね。	あの てら の やね は <b>きんいろ</b> です ね	The roof of that temple is golden.	0	きんいろ	0
2556	形式	"form, model"	書類は<b>形式</b>を守って作ってください。	しょるい は <b>けいしき</b> を まもって つくって ください	Please maintain the format of the documents.	0	けいしき	0
2557	小型	small-sized	<b>小型</b>のスーツケースを買いました。	<b>こがた</b> の すーつけーす を かいました	I bought a small suitcase.	0	こがた	0
2558	あっさり	"plainly, matter-of-factly"	そう<b>あっさり</b>言わないで。	そう <b>あっさり</b> いわない で	Don't say it so matter-of-factly.	0	あっさり	0
2559	型	"type, mold"	新しい<b>型</b>のカメラを買いました。	あたらしい <b>かた</b> の かめら を かいました	I bought a new-model camera.	0	かた	0
2560	一種	"a kind of, a sort of@a kind of, of sorts"	それは果物の<b>一種</b>です。@これは<b>一種</b>独特の味がするね。	それ は くだもの の <b>いっしゅ</b> です@これ は <b>いっしゅ</b> どくとく の あじ が する ね	It is a kind of fruit.@This has an unusual sort of taste.	0	いっしゅ@いっしゅ	0
2561	各種	"each kind, various"	図書館には<b>各種</b>の雑誌が揃っています。	としょかん に は <b>かくしゅ</b> の ざっし が そろって います	There are various magazines in the library.	0	かくしゅ	0
2562	がらがら	empty@gargle	映画館は<b>がらがら</b>でした。@誰かが<b>ガラガラ</b>とうがいをしているね。	えいがかん は <b>がらがら</b> でした@だれか が <b>がらがら</b> と うがい を して いる ね	The movie theater was empty.@Someone is gargling loudly.	0	がらがら@がらがら	0
2563	人種	race	この国には様々な<b>人種</b>がいます。	この くに に は さまざま な <b>じんしゅ</b> が います	There are many ethnic groups in this country.	0	じんしゅ	0
2564	種目	"item, event"	その選手は2<b>種目</b>でメダルを取ったわ。	その せんしゅ は に<b>しゅもく</b> で めだる を とった わ	The athlete won medals in two events.	0	しゅもく	0
2565	人類	"mankind, humankind"	<b>人類</b>は2本の足で歩きます。	<b>じんるい</b> は にほん の あし で あるきます	Humans walk on two feet.	0	じんるい	0
2566	せっせと	"hard, diligently"	彼は朝から晩まで<b>せっせと</b>働いたの。	かれ は あさ から ばん まで <b>せっせと</b> はたらいた の	He worked hard from morning till night.	0	せっせと	0
2567	書類	"documents, papers"	<b>書類</b>を10枚コピーしました。	<b>しょるい</b> を じゅうまい こぴー しました	I made ten copies of the document.	0	しょるい	0
2568	接近	"approach, proximity"	台風が<b>接近</b>していますね。	たいふう が <b>せっきん</b> して います ね	A typhoon is approaching.	0	せっきん	0
2569	間接	indirect	それは<b>間接</b>的な原因の一つです。	それ は <b>かんせつ</b>てき な げんいん の ひとつ です	It's one of the indirect causes.	0	かんせつ	0
2570	接する	"come in contact, adjoin"	子供が動物に<b>接する</b>のは良いことです。	こども が どうぶつ に <b>せっする</b> の は よい こと です	It is good for children to have contact with animals.	0	せっする	0
2571	角度	angle	この<b>角度</b>からは画面が見えにくいですね。	この <b>かくど</b> からは がめん が みえ にくい です ね	It's difficult to see the screen from this angle.	0	かくど	0
2572	三角形	triangle	この<b>三角形</b>の面積を出しなさい。	この <b>さんかくけい</b> の めんせき を だしなさい	Figure out the dimensions of this triangle.	0	さんかくけい	0
2573	曲線	"curve, curved line"	この道は、ゆるい<b>曲線</b>を描いているよ。	この みち は ゆるい <b>きょくせん</b> を えがいて いる よ	This road curves gently.	0	きょくせん	0
2574	カタログ	catalogue	<b>カタログ</b>を見て注文したんだ。	<b>かたろぐ</b> を みて ちゅうもん した ん だ	I looked at the catalog and placed an order.	0	カタログ	0
2575	作曲	composition	この曲は誰が<b>作曲</b>したのですか。	この きょく は だれ が <b>さっきょく</b> した の です か	Who composed this tune?	0	さっきょく	0
2576	共通	commonality	私たちは<b>共通</b>の趣味を持っています。	わたしたち は <b>きょうつう</b> の しゅみ を もって います	We have a common hobby.	0	きょうつう	0
2577	共通語	"common language, lingua franca"	インドでは英語は<b>共通語</b>だよ。	いんど で は えいご は <b>きょうつうご</b> だ よ	English is a common language in India.	0	きょうつうご	0
2578	共同	"joint, commonality"	2社が<b>共同</b>で新製品を開発したんだ。	にしゃ が <b>きょうどう</b> で しんせいひん を かいはつ した ん だ	The two companies jointly developed a new product.	0	きょうどう	0
2579	合同	"combination, joint"	3社<b>合同</b>で新作の発表会を開きました。	さんしゃ <b>ごうどう</b> で しんさく の はっぴょうかい を ひらきました	Three companies had a joint presentation for their new products.	0	ごうどう	0
2580	一同	"everybody, all"	<b>一同</b>顔を見合わせました。	<b>いちどう</b> かお を みあわせました	We all looked at each other.	0	いちどう	0
2581	以前	"before, ago"	<b>以前</b>彼はこの町に住んでいたんだ。	<b>いぜん</b> かれ は この まち に すんで いた ん だ	He used to live in this town.	0	いぜん	0
2582	ジャズ	jazz	昨日の夜、<b>ジャズ</b>を聴きに行きました。	きのう の よる <b>じゃず</b> を きき に いきました	I went to listen to jazz last night.	0	ジャズ	0
2583	以下	below	数学が平均点<b>以下</b>だった。	すうがく が へいきんてん <b>いか</b> だった	The math score was below average.	0	いか	0
2584	以降	hereafter	夕方<b>以降</b>にお電話を下さい。	ゆうがた <b>いこう</b> に お でんわ を ください	Please call me in the evening.	0	いこう	0
2585	以来	since	それ<b>以来</b>彼女に会ってない。	それ <b>いらい</b> かのじょ に あってない	I haven't met her since then.	0	いらい	0
2586	以後	"from now on, after that"	すみません、<b>以後</b>気を付けます。	すみません <b>いご</b> き を つけます	"Sorry, I'll be more careful from now on."	0	いご	0
2587	下宿	"lodging, boarding house"	親類の家に4年間<b>下宿</b>しました。	しんるい の いえ に よねんかん <b>げしゅく</b> しました	I boarded at a relative's house for four years.	0	げしゅく	0
2588	漢和	Chinese and Japanese	<b>漢和</b>辞典で漢字の意味を調べたの。	<b>かんわ</b> じてん で かんじ の いみ を しらべた の	I looked up the meaning of a kanji in a Sino-Japanese dictionary.	0	かんわ	0
2589	英和	English-Japanese	<b>英和</b>辞書をよく使います。	<b>えいわ</b> じしょ を よく つかいます	I often use an English-Japanese dictionary.	0	えいわ	0
2590	西洋	"the West, the Occident"	私は<b>西洋</b>の建築に興味があります。	わたし は <b>せいよう</b> の けんちく に きょうみ が あります	I am interested in Western architecture.	0	せいよう	0
2591	サイン	"signature, autograph"	ここに<b>サイン</b>してください。	ここ に <b>さいん</b> して ください	Please sign here.	0	サイン	0
2592	海洋	"ocean, sea"	その昔航海士達は未踏の地を求め<b>海洋</b>に乗り出しました。	その むかし こうかいしたち は みとう の ち を もとめ <b>かいよう</b> に のりだしました	"In the past, sailors ventured into the ocean in search of unexplored lands."	0	かいよう	0
2593	西洋人	Westerner	<b>西洋人</b>は正座が苦手よ。	<b>せいようじん</b> は せいざ が にがて よ	Westerners are not good at sitting with their legs folded underneath them.	0	せいようじん	0
2594	制服	uniform	私の学校には<b>制服</b>がありません。	わたし の がっこう に は <b>せいふく</b> が ありません	There is no uniform in my school.	0	せいふく	0
2595	室内	indoors	雨の日は子供を<b>室内</b>で遊ばせます。	あめ の ひ は こども を <b>しつない</b> で あそばせます	I have the kids play indoors on rainy days.	0	しつない	0
2596	親子	parent and child	池に鴨の<b>親子</b>がいます。	いけ に かも の <b>おやこ</b> が います	A mother duck and her ducklings are in the pond.	0	おやこ	0
2597	親類	"relatives, kin"	彼は幼い時に<b>親類</b>に預けられたんだ。	かれ は おさない とき に <b>しんるい</b> に あずけられた ん だ	He was put under his relatives' care when he was small.	0	しんるい	0
2598	親しむ	"get close to, get familiar with"	ハイキングは自然に<b>親しむ</b>良い機会ですよ。	はいきんぐ は しぜん に <b>したしむ</b> いい きかい です よ	Hiking is a good chance to get close to nature.	0	したしむ	0
2599	ごまかす	"deceive, evade"	彼は質問の答えを<b>ごまかした</b>ね。	かれ は しつもん の こたえ を <b>ごまかした</b> ね	He cheated on the answer to the question.	0	ごまかす	0
2600	親友	close friend	彼は私の<b>親友</b>です。	かれ は わたし の <b>しんゆう</b> です	He is a close friend.	0	しんゆう	0
2601	親指	thumb	<b>親指</b>を怪我しました。	<b>おやゆび</b> を けがしました	I injured my thumb.	0	おやゆび	0
2602	親しみ	"intimacy, familiarity"	彼には誰もが<b>親しみ</b>を感じます。	かれ に は だれ も が <b>したしみ</b> を かんじます	Everyone feels close to him. .	0	したしみ	0
2603	水族館	aquarium	ここの<b>水族館</b>にはイルカがいます。	ここ の <b>すいぞくかん</b> に は いるか が います	There is a dolphin in the aquarium here.	0	すいぞくかん	0
2604	歳末	year end	デパートの<b>歳末</b>大売出しが始まったよ。	でぱーと の <b>さいまつ</b> おおうりだし が はじまった よ	Year-end sales have begun at the department stores.	0	さいまつ	0
2605	姉妹	sisters	うちは3人<b>姉妹</b>です。	うち は さんにん <b>しまい</b> です	"There are three girls in my family, myself and two sisters."	0	しまい	0
2606	インテリ	intelligent	彼女は<b>インテリ</b>で、しかも美人ですね。	かのじょ は <b>いんてり</b> で しかも びじん です ね	She is not only intelligent but beautiful too.	0	インテリ	0
2607	次第に	"gradually, by degrees"	その事件は<b>次第に</b>忘れられていったのさ。	その じけん は <b>しだいに</b> わすれられて いった の さ	The incident was gradually forgotten.	0	しだいに	0
2608	次第	as soon as	連絡があり<b>次第</b>出発します。	れんらく が あり <b>しだい</b> しゅっぱつ します	I will depart once I am told.	0	しだい	0
2609	息	breath	大きく<b>息</b>を吸ってください。	おおきく <b>いき</b> を すって ください	Please take a deep breath.	0	いき	0
2610	休息	"rest, break"	<b>休息</b>をとることは大切です。	<b>きゅうそく</b> を とる こと は たいせつ です	It's important to take breaks.	0	きゅうそく	0
2611	消費者	consumer	この法律は<b>消費者</b>を守るためのものです。	この ほうりつ は <b>しょうひしゃ</b> を まもる ため の もの です	This law is used to defend the consumer.	0	しょうひしゃ	0
2612	学者	scholar	彼は作家であり<b>学者</b>です。	かれ は さっか で あり <b>がくしゃ</b> です	He is a writer and a scholar.	0	がくしゃ	0
2613	後者	the latter	正しい答は<b>後者</b>です。	ただしい こたえ は <b>こうしゃ</b> です	The right answer is the latter.	0	こうしゃ	0
2614	作者	"author, writer"	この本の<b>作者</b>は誰ですか。	この ほん の <b>さくしゃ</b> は だれ です か	Who is the author of this book?	0	さくしゃ	0
2615	いちいち	"one by one, in detail"	彼は<b>いちいち</b>私に指図する。	かれ は <b>いちいち</b> わたし に さしず する	He gives me instructions on everything.	0	いちいち	0
2616	前者	the former	私は<b>前者</b>の方が優れていると思います。	わたし は <b>ぜんしゃ</b> の ほう が すぐれて いる と おもいます	I think that the former is excellent.	0	ぜんしゃ	0
2617	結局	"after all, finally"	彼は<b>結局</b>何を言いたかったのだろう。	かれ は <b>けっきょく</b> なに を いいたかった の だろう	I wonder what he wanted to say after all.	0	けっきょく	0
2618	新婚	newlywed	妹夫婦は<b>新婚</b>です。	いもうとふうふ は <b>しんこん</b> です	My younger sister and her husband are the newlyweds.	0	しんこん	0
2619	婚約	"engagement, betrothal"	二人は<b>婚約</b>しています。	ふたり は <b>こんやく</b> して います	They are engaged.	0	こんやく	0
2620	課長	section chief	彼は<b>課長</b>に昇進しました。	かれ は <b>かちょう</b> に しょうしん しました	He was promoted to section chief.	0	かちょう	0
2621	効く	be effective	この薬はあまりよく<b>効かない</b>よ。	この くすり は あまり よく <b>きかない</b> よ	This medicine doesn't work very well.	0	きく	0
2622	効力	"effect, validity"	その薬は<b>効力</b>が強いよ。	その くすり は <b>こうりょく</b> が つよい よ	The effect of the medicine is strong.	0	こうりょく	0
2623	ストライキ	strike	従業員は明日から<b>ストライキ</b>です。	じゅうぎょういん は あす から <b>すとらいき</b> です	Employees will go on strike from tomorrow.	0	ストライキ	0
2624	効き目	"effect, efficacy"	この薬の<b>効き目</b>は素晴らしいの。	この くすり の <b>ききめ</b> は すばらしい の	This medicine is so effective.	0	ききめ	0
2625	自動	automatic operation	このドアは<b>自動</b>よ。	この どあ は <b>じどう</b> よ	This door is automatic.	0	じどう	0
2626	自国	one's own country	<b>自国</b>の文化を大切にしましょう。	<b>じこく</b> の ぶんか を たいせつ に しましょう	Let's take good care of our own country's culture.	0	じこく	0
2627	各自	"each one, every individual"	ごみは<b>各自</b>で持ち帰ってください。	ごみ は <b>かくじ</b> で もちかえって ください	Please take your own garbage home.	0	かくじ	0
2628	自然に	"naturally, instinctively"	硬くならないで、<b>自然に</b>話して下さい。	かたく ならない で <b>しぜんに</b> はなして ください	Please speak naturally without being formal.	0	しぜんに	0
2629	経由	"via, through"	メールを<b>経由</b>して広がるウィルスもあります。	めーる を <b>けいゆ</b> して ひろがる うぃるす も あります	There are even viruses that spread via e-mail.	0	けいゆ	0
2630	自信	self-confidence	あの人の顔には<b>自信</b>があふれているね。	あの ひと の かお に は <b>じしん</b> が あふれて いる ね	That person's face is brimming with confidence.	0	じしん	0
2631	あんまり	"(not) that much, (not) so much"	これは<b>あんまり</b>好きじゃないな。	これ は <b>あんまり</b> すき じゃ ない な	I don't like this so much.	0	あんまり	0
2632	信用	"trust, credit"	彼の言うことは<b>信用</b>できない。	かれ の いう こと は <b>しんよう</b> できない	I can't trust what he says.	0	しんよう	0
2633	信頼	"reliance, confidence"	私は部下を<b>信頼</b>しています。	わたし は ぶか を <b>しんらい</b> して います	I trust my subordinates.	0	しんらい	0
2634	依頼	"request, commission"	彼に協力を<b>依頼</b>しました。	かれ に きょうりょく を <b>いらい</b> しました	I requested his cooperation.	0	いらい	0
2635	人民	"the people, populace"	彼は<b>人民</b>のための政治を行った。	かれ は <b>じんみん</b> の ため の せいじ を おこなった	He engaged in politics for the people's benefit.	0	じんみん	0
2636	国民	"the people, nation"	<b>国民</b>の安全が最も大切です。	<b>こくみん</b> の あんぜん が もっとも たいせつ です	Citizen safety is most important.	0	こくみん	0
2637	主要	"main, principal"	IT産業はインドの<b>主要</b>産業よね。	あいてぃー さんぎょう は いんど の <b>しゅよう</b> さんぎょう よ ね	IT is a major industry in India.	0	しゅよう	0
2638	主に	"mainly, mostly"	この商品は<b>主に</b>女性に人気がありまして。	この しょうひん は <b>おもに</b> じょせい に にんき が ありまし て	This product is mainly popular among women.	0	おもに	0
2639	主役	"leading part, starring role"	彼は学校の劇で<b>主役</b>に選ばれたよ。	かれ は がっこう の げき で <b>しゅやく</b> に えらばれた よ	He was chosen for a leading part in the school play.	0	しゅやく	0
2640	主体	"agent, main constituent"	政治は国民<b>主体</b>であるべきです。	せいじ は こくみん <b>しゅたい</b> で ある べき です	The government should be the agent of the people.	0	しゅたい	0
2641	主題	"subject, theme"	この小説の<b>主題</b>は反戦です。	この しょうせつ の <b>しゅだい</b> は はんせん です	The main theme of this novel is opposition to war.	0	しゅだい	0
2642	自主	"independence, autonomy"	その選手は<b>自主</b>トレーニングを始めたの。	その せんしゅ は <b>じしゅ</b>とれーにんぐ を はじめた の	Those players started training independently.	0	じしゅ	0
2643	主食	staple food	アジアの<b>主食</b>は米です。	あじあ の <b>しゅしょく</b> は こめ です	The staple food of Asia is rice.	0	しゅしょく	0
2644	主	"main, chief"	彼女の<b>主</b>な仕事は接客だよ。	かのじょ の <b>おも</b> な しごと は せっきゃく だ よ	Her main job is customer service.	0	おも	0
2645	主義	"principle, -ism"	私は車は持たない<b>主義</b>です。	わたし は くるま は もたない <b>しゅぎ</b> です	I do not have a car on principle.	0	しゅぎ	0
2646	共産主義	Communism	その国は<b>共産主義</b>の国だよ。	その くに は <b>きょうさんしゅぎ</b> の くに だ よ	That country is a Communist nation.	0	きょうさんしゅぎ	0
2647	カーブ	"curve, bend"	この<b>カーブ</b>は気をつけて。	この <b>かーぶ</b> は き を つけて	Be careful on this curve.	0	カーブ	0
2648	義理	"sense of duty, justice"	彼は<b>義理</b>を大切にしています。	かれ は <b>ぎり</b> を たいせつ に して います	He values duty.	0	ぎり	0
2649	議会	"assembly, council"	<b>議会</b>で区の来年の予定が話し合われたんだ。	<b>ぎかい</b> で く の らいねん の よてい が はなしあわれた ん だ 。	The council discussed the district's plan for the upcoming year.	0	ぎかい	0
2650	協議	"conference, deliberation"	委員会はその問題について<b>協議</b>しましたわ。	いいんかい は その もんだい に ついて <b>きょうぎ</b> しました わ	The committee discussed the issue.	0	きょうぎ	0
2651	議長	"chairman, president"	<b>議長</b>が開会の挨拶をしました。	<b>ぎちょう</b> が かいかい の あいさつ を しました	The chairman made the opening greetings for the meeting.	0	ぎちょう	0
2652	議題	"topic for discussion, agenda"	今日の<b>議題</b>は面白そうです。	きょう の <b>ぎだい</b> は おもしろ そう です	Today's agenda looks interesting.	0	ぎだい	0
2653	議論	"argument, discussion"	父は<b>議論</b>好きです。	ちち は <b>ぎろん</b>ずき です	My father likes engaging in debates.	0	ぎろん	0
2654	結論	conclusion	今日の話し合いでは<b>結論</b>が出なかった。	きょう の はなしあい で は <b>けつろん</b> が でなかった	We did not reach a conclusion in our discussion today.	0	けつろん	0
2655	ガイド	guide	<b>ガイド</b>つきの旅行を申し込んだの。	<b>がいど</b> つき の りょこう を もうしこんだ の	I signed up for a conducted tour.	0	ガイド	0
2656	言論	"speech, discussion"	<b>言論</b>の自由は国民の権利です。	<b>げんろん</b> の じゆう は こくみん の けんり です	Freedom of speech is the right of the people.	0	げんろん	0
2657	違反	"violation, breach"	彼は校則に<b>違反</b>しました。	かれ は こうそく に <b>いはん</b> しました	He violated school regulations.	0	いはん	0
2658	応じる	"answer, comply with"	私は彼の要望に<b>応じました</b>。	わたし は かれ の ようぼう に <b>おうじました</b>	I responded to his demand.	0	おうじる	0
2659	応用	application	このレシピはいろいろ<b>応用</b>できます。	この れしぴ は いろいろ <b>おうよう</b> できます	This recipe can be used in many ways.	0	おうよう	0
2660	一応	tentatively	彼にも<b>一応</b>知らせておいたほうがいいだろう。	かれ に も <b>いちおう</b> しらせて おいた ほう が いいだろう	It'd be better to just let him know.	0	いちおう	0
2661	回答	"reply, answer"	アンケートに<b>回答</b>しました。	あんけーと に <b>かいとう</b> しました	I answered the questionnaire.	0	かいとう	0
2662	かえる	frog	田んぼの中で<b>かえる</b>が合唱している。	たんぼ の なか で <b>かえる</b> が がっしょう している 。	Frogs in the rice field are croaking in chorus.	0	かえる	0
2663	解答	"solution, answer"	インターネットで試験の<b>解答</b>を確認したんだ。	いんたーねっと で しけん の <b>かいとう</b> を かくにん した ん だ	I checked the answers to the exam on the Internet.	0	かいとう	0
2664	区別	"distinction, classification"	あの二人はそっくりで<b>区別</b>できない。	あの ふたり は そっくり で <b>くべつ</b> できない	Those two look identical and I can't tell them apart.	0	くべつ	0
2665	差別	discrimination	彼は<b>差別</b>をなくす運動をしています。	かれ は <b>さべつ</b> を なくす うんどう を して います	He is working to end discrimination.	0	さべつ	0
2666	性別	"sex, gender"	出席者を<b>性別</b>で分けてください。	しゅっせきしゃ を <b>せいべつ</b> で わけて ください	Please divide attendees by gender.	0	せいべつ	0
2667	一般に	"generally, in general"	<b>一般に</b>老人は早起きです。	<b>いっぱんに</b> ろうじん は はやおき です	"In general, elderly people get up early."	0	いっぱんに	0
2668	経済的	"economical, economic"	<b>経済的</b>な効果は計り知れません。	<b>けいざいてき</b> な こうか は はかり しれません	The economic effects are immeasurable.	0	けいざいてき	0
2669	自主的	"autonomous, voluntary"	学生たちは<b>自主的</b>に勉強会を開いたわよ。	がくせいたち は <b>じしゅてき</b> に べんきょうかい を ひらいた わ よ	Students held an independent study meeting.	0	じしゅてき	0
2670	合理的	"rational, logical"	彼女は<b>合理的</b>な考え方をする人です。	かのじょ は <b>ごうりてき</b> な かんがえかた を する ひと です	She is a person who thinks logically.	0	ごうりてき	0
2671	ずれる	"off track, out of line"	ポスターの位置が少し<b>ずれている</b>よ。	ぽすたー の いち が すこし <b>ずれて いる</b> よ	The poster is slightly out of position.	0	ずれる	0
2672	形式的	formal	彼は<b>形式的</b>な質問をしただけだった。	かれ は <b>けいしきてき</b> な しつもん を した だけ だった	He only asked formal questions.	0	けいしきてき	0
2673	実用的	practical	彼の発明品はみな<b>実用的</b>だよ。	かれ の はつめいひん は みな <b>じつようてき</b> だ よ	All his inventions are practical.	0	じつようてき	0
2674	女性的	"feminine, womanly"	彼は言葉遣いが少し<b>女性的</b>だね。	かれ は ことばづかい が すこし <b>じょせいてき</b> だ ね	His way of talking is a little feminine.	0	じょせいてき	0
2675	水平	"horizontal, level"	この棚は<b>水平</b>になっていませんね。	この たな は <b>すいへい</b> に なって いません ね	This shelf is not horizontal.	0	すいへい	0
2676	水平線	horizon	<b>水平線</b>に太陽が沈んでいった。	<b>すいへいせん</b> に たいよう が しずんで いった	The sun was setting on the horizon.	0	すいへいせん	0
2677	高等	"higher, high-grade"	人間は<b>高等</b>な生物と言われている。	にんげん は <b>こうとう</b> な せいぶつ と いわれて いる	It is said that humans are advanced creatures.	0	こうとう	0
2678	上等	"first-class, premium"	<b>上等</b>なワインを飲んだの。	<b>じょうとう</b> な わいん を のんだ の	We drank good wine.	0	じょうとう	0
2679	オーバー	exaggerate	彼の話はいつも<b>オーバー</b>です。	かれ の はなし は いつも <b>おーばー</b> です	His story is always exaggerated.	0	オーバー	0
2680	急病	sudden illness	知り合いが<b>急病</b>で倒れた。	しりあい が <b>きゅうびょう</b> で たおれた	An acquaintance of mine suddenly fell ill.	0	きゅうびょう	0
2681	医学	"medical science, medicine"	彼は<b>医学</b>を学んでいます。	かれ は <b>いがく</b> を まなんで います	He studies medicine.	0	いがく	0
2682	科学者	scientist	彼はとても有名な<b>科学者</b>だ。	かれ は とても ゆうめい な <b>かがくしゃ</b> だ	He is a very famous scientist.	0	かがくしゃ	0
2683	科目	subject	今日は3<b>科目</b>のテストを受けたよ。	きょう は さん<b>かもく</b> の てすと を うけた よ	I took exams for three subjects today.	0	かもく	0
2684	学科	"subject, department"	彼の得意な<b>学科</b>は数学です。	かれ の とくい な <b>がっか</b> は すうがく です	Math is his strong subject.	0	がっか	0
2685	居る	"be present@be present, stay (humble)"	今日は一日中家に<b>居ました</b>。@母は今、うちに<b>居りません</b>。	きょう は いちにちじゅう うち に <b>いました</b>@はは は いま うち に <b>おりません</b>	I was at home all day today.@My mother isn't at home now.	0	いる@おる	0
2686	外科	surgery	友人が骨折して<b>外科</b>に入院しました。	ゆうじん が こっせつ して <b>げか</b> に にゅういん しました	My friend broke a bone and was admitted to hospital for surgery.	0	げか	0
2687	歯科	dentistry	彼は<b>歯科</b>医師です。	かれ は <b>しか</b> いし です	He is a dentist.	0	しか	0
2688	エアコン	"air-conditioning, air conditioner"	部屋に<b>エアコン</b>を取り付けたんだ。	へや に <b>えあこん</b> を とりつけた ん だ	The air conditioner was installed in the room.	0	エアコン	0
2689	自然科学	natural science	姉は大学で<b>自然科学</b>を学んでいます。	あね は だいがく で <b>しぜんかがく</b> を まなんで います	My elder sister studies natural science at university.	0	しぜんかがく	0
2690	人文科学	humanities	大学で<b>人文科学</b>を専攻しました。	だいがく で <b>じんぶんかがく</b> を せんこう しました	I majored in humanities when I was in college.	0	じんぶんかがく	0
2691	社会科学	social sciences	<b>社会科学</b>の分野に関心があります。	<b>しゃかいかがく</b> の ぶんや に かんしん が あります	I'm interested in the field of social sciences.	0	しゃかいかがく	0
2692	死	death	<b>死</b>を恐れるのは自然なことです。	<b>し</b> を おそれる の は しぜん な こと です	It is natural to be afraid of death.	0	し	0
2693	死者	"dead person, the deceased"	その事故で30人の<b>死者</b>が出たの。	その じこ で さんじゅうにん の <b>ししゃ</b> が でた の	Thirty people died due to the accident.	0	ししゃ	0
2694	死体	"corpse, body"	公園で<b>死体</b>が見つかったの。	こうえん で <b>したい</b> が みつかった の	A corpse was found in the park.	0	したい	0
2695	生死	life and death	これは人の<b>生死</b>にかかわる問題です。	これ は ひと の <b>せいし</b> に かかわる もんだい で す	This is a matter of life and death.	0	せいし	0
2696	死亡	death	その事故では2人<b>死亡</b>したの。	その じこ で は ふたり <b>しぼう</b> した の	Two people died in that accident.	0	しぼう	0
2697	しょっちゅう	"frequently, repeatedly"	彼は<b>しょっちゅう</b>遅刻しているな。	かれ は <b>しょっちゅう</b> ちこく して いる な	He is frequently late.	0	しょっちゅう	0
2698	痛み	"pain, ache"	背中に<b>痛み</b>があります。	せなか に <b>いたみ</b> が あります	I have a pain in my back.	0	いたみ	0
2699	痛む	"feel pain, hurt"	虫歯がずきずき<b>痛みます</b>。	むしば が ずきずき <b>いたみます</b>	I have a throbbing toothache.	0	いたむ	0
2700	禁止	"prohibition, forbiddance"	交差点付近は駐車<b>禁止</b>です。	こうさてん ふきん は ちゅうしゃ <b>きんし</b> です	It is forbidden to park close to the intersection.	0	きんし	0
2701	禁じる	"prohibit, forbid"	市は昨年から歩きタバコを<b>禁じている</b>の。	し は さくねん から あるきたばこ を <b>きんじて いる</b> の	"Since last year, the city has banned smoking cigarettes while walking."	0	きんじる	0
2702	煙	"smoke, fumes"	煙突から<b>煙</b>がまっすぐ上っていたの。	えんとつ から <b>けむり</b> が まっすぐ あがって いた の	Smoke was rising straight up from the chimney.	0	けむり	0
2703	酒屋	liquor store	そこの<b>酒屋</b>さんでビールを買って来て。	そこ の <b>さかや</b>さん で びーる を かって きて	Go and buy some beer at that liquor store.	0	さかや	0
2704	禁酒	abstention from alcohol	彼は<b>禁酒</b>しています。	かれ は <b>きんしゅ</b> して います	He is on the wagon.	0	きんしゅ	0
2705	スタンド	"table lamp, desk lamp"	姉は<b>スタンド</b>の下で本を読んでいたんだ。	あね は <b>すたんど</b> の した で ほん を よんで いた ん だ	My elder sister was reading a book by the desk lamp.	0	スタンド	0
2706	険しい	"steep, craggy"	父の表情が<b>険しくなった</b>の。	ちち の ひょうじょう が <b>けわしく なった</b> の	My father's expression became grim.	0	けわしい	0
2707	証券	"bill, bond"	<b>証券</b>を売って資金にしようと思うの。	<b>しょうけん</b> を うって しきん に しよう と おもう の	I'm thinking of selling some securities and converting them to funds.	0	しょうけん	0
2708	証明	"proof, evidence"	容疑者のアリバイが<b>証明</b>されました。	ようぎしゃ の ありばい が <b>しょうめい</b> されました	The suspect's alibi was proven.	0	しょうめい	0
2709	生存	"existence, survival"	乗客は全員<b>生存</b>しています。	じょうきゃく は ぜんいん <b>せいぞん</b> して います	All passengers survived.	0	せいぞん	0
2710	ご存じ	know	彼の名前を<b>ご存じ</b>ですか。	かれ の なまえ を <b>ごぞんじ</b> です か	Do you know his name?	0	ごぞんじ	0
2711	合意	mutual agreement	両社が合併に<b>合意</b>しました。	りょうしゃ が がっぺい に <b>ごうい</b> しました	The two companies agreed to the amalgamation.	0	ごうい	0
2712	意向	"intention, inclination"	彼の<b>意向</b>を聞いてみましょう。	かれ の <b>いこう</b> を きいて みましょう	Let's ask what he intends to do.	0	いこう	0
2713	がっかり	feel disappointed	成績が落ちて<b>がっかり</b>した。	せいせき が おちて <b>がっかり</b> した	I was disappointed bacause my grades fell.	0	がっかり	0
2714	意欲	"volition, motivation"	彼は仕事に<b>意欲</b>を燃やしています。	かれ は しごと に <b>いよく</b> を もやして います	He is very motivated to work.	0	いよく	0
2715	決意	"resolution, determination"	彼の<b>決意</b>は堅いな。	かれ の <b>けつい</b> は かたい な	His decision is firm.	0	けつい	0
2716	意図	"intention, aim"	あなたの<b>意図</b>はよく分かりました。	あなた の <b>いと</b> は よく わかりました	I understood your intention well.	0	いと	0
2717	意外	"unexpected, unforeseen"	<b>意外</b>にも彼は独身です。	<b>いがい</b> に も かれ は どくしん です	"Surprisingly, he is single."	0	いがい	0
